list_id,family,condition,year,region,price_vnd,odo_km,battery_topic,peer_listings,peer_sellers,peer_median_vnd,peer_p25_vnd,peer_p75_vnd,price_position,verification_status,subject
120557240,VF8,New,2026,Ho Chi Minh City,898000000,,Not mentioned,45,21,848000000.0,840000000.0,896000000.0,Above peer P75: check extras,"Unverified historical ad; confirm availability, trim, battery and full price",VF8 LUX PLUS-VAY 90%-BAO HS KHÓ-150TR NHẬN XE!
133659585,VF3,New,2026,Ho Chi Minh City,278000000,,Not mentioned,68,40,278000000.0,276750000.0,278000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price","VF 3 - MUA XE 0 ĐỒNG, NHẬN XE NGAY VAY TỚI 100%"
133956941,VF5,New,2026,Ho Chi Minh City,471000000,,Not mentioned,66,40,446000000.0,431000000.0,471000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",VF5 MUA DỄ DÀNG - CHỈ CẦN NHU CẦU - TÀI 9 EM LO
130989283,VF7,New,2026,Ho Chi Minh City,740000000,,Not mentioned,37,20,740000000.0,703000000.0,740000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price","VF7 HỖ TRỢ VAY 90%-BAO HS KHÓ,NỢ XẤU,DOANH NGHIÊP"
134319414,VF8,Used,2023,Ho Chi Minh City,745000000,40538.0,Not mentioned,19,8,645000000.0,585000000.0,679000000.0,Above peer P75: check extras,"Unverified historical ad; confirm availability, trim, battery and full price",VF8 Plus CATL 2023 tặng thuế trước bạ trong T8
133941381,VF5,New,2026,Ho Chi Minh City,446400000,,Not mentioned,66,40,446000000.0,431000000.0,471000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",VF5 PLUS - 35TR NHẬN XE -  VAY 90-100%
134201392,VF3,New,2026,Hanoi,279000000,,Not mentioned,11,10,269000000.0,224000000.0,277000000.0,Above peer P75: check extras,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast VF 3 Plus 2026 giao xe ngay
134464520,VF6,New,2026,Ho Chi Minh City,634000000,,Not mentioned,42,34,626495000.0,599250000.0,646000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",Giá lăn bánh Vinfast VF6. Xe sẵn giao ngay
133338801,MPV7,New,2026,Ho Chi Minh City,692000000,,Not mentioned,23,22,699000000.0,650000000.0,710000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",VINFAST MPV 7 - XE SẴN KHO - 90 TRIỆU NHẬN XE
134380030,VF6,Used,2025,Ho Chi Minh City,555000000,22000.0,Not mentioned,11,6,555000000.0,529000000.0,592000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",Vinfast VF6 Eco 2025 Trắng 22.000km
133337945,VF6,New,2026,Ho Chi Minh City,613000000,,Not mentioned,42,34,626495000.0,599250000.0,646000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",VINFAST VF6 - XE SẴN GIAO NGAY - 77 TRIỆU NHẬN XE
133330626,VF5,New,2026,Ho Chi Minh City,446000000,,Not mentioned,66,40,446000000.0,431000000.0,471000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",VINFAST VF5 PLUS - XE SẴN KHO - 50 TRIỆU NHẬN XE
